DAUID,Province,DA Population,Residential Instability,Ethno-cultural Composition,Economic Dependency,Situational Vulnerability
24940310,Quebec,630,0.425,-0.941,1.261,0.073
24940311,Quebec,395,1.883,-0.814,0.502,0.565
24940312,Quebec,755,-0.051,-0.728,-0.531,-0.473
24940314,Quebec,940,-0.511,-1.099,0.781,-0.47
24940315,Quebec,920,-0.678,-1.04,0.498,-0.574
24940316,Quebec,495,-0.306,-0.789,0.658,0.338
24940323,Quebec,410,-0.795,-1.044,-0.078,-0.379
24940324,Quebec,910,-0.55,-0.926,0.052,0.192
24940329,Quebec,430,-0.384,-0.847,1.914,0.559
24940330,Quebec,1110,-0.514,-1.005,0.502,0.067
24940331,Quebec,395,-0.206,-1.098,0.884,0.34
24940332,Quebec,1265,-0.257,-0.925,1.153,0.156
24940334,Quebec,610,-0.527,-0.875,0.18,0.163
24940335,Quebec,80,-0.123,-0.817,-1.855,-1.178
24940337,Quebec,945,-0.973,-0.832,0.002,-0.553
24940338,Quebec,1240,-1.029,-0.972,-1.073,-0.352
24940339,Quebec,1350,-0.83,-0.963,-0.67,-0.49
24940340,Quebec,1575,-0.502,-0.902,-0.962,-0.478
24940342,Quebec,565,-0.617,-0.959,0.592,-0.165
24940343,Quebec,600,0.042,-1.115,-0.496,0.052
24940344,Quebec,300,0.741,-1.051,-2.955,-0.564
24940345,Quebec,495,0.976,-1.659,-2.844,0.944
24940346,Quebec,495,0.485,-0.917,0.43,0.201
24940347,Quebec,560,-0.321,-0.881,0.51,-0.161
24940348,Quebec,430,-0.861,-0.918,0.035,-0.142
24940366,Quebec,495,0.183,-1.045,0.988,0.406
24940374,Quebec,775,-0.472,-0.971,0.033,-0.074
24940375,Quebec,810,-0.471,-0.93,0.219,-0.099
24940376,Quebec,700,-0.015,-0.831,-0.914,0.002
24940377,Quebec,535,-0.112,-1.083,-0.706,-0.095
24940378,Quebec,780,-0.336,-0.735,1.373,0.281
24940379,Quebec,560,-0.132,-0.987,-0.47,0.138
24940380,Quebec,480,-0.537,-0.964,0.045,-0.354
24940381,Quebec,445,-0.761,-0.865,0.173,0.074
24940382,Quebec,405,-0.313,-1.122,1.045,0.161
24940383,Quebec,640,-0.317,-0.906,-0.234,0.657
24940386,Quebec,525,-0.615,-1.115,-0.565,-0.429
24940387,Quebec,540,-0.508,-0.845,0.681,-0.182
24940391,Quebec,750,-0.388,-0.998,0.225,-0.213
24940395,Quebec,1010,-0.22,-0.912,-0.327,0.044
24940396,Quebec,590,-0.717,-1.049,-0.462,-0.606
24940398,Quebec,765,-0.501,-0.906,-0.031,0.109
24940399,Quebec,390,-0.629,-0.982,0.742,-0.251
24940400,Quebec,910,0.186,-0.924,0.732,-0.185
24940402,Quebec,655,-0.702,-0.996,-0.439,-0.145
24940403,Quebec,910,-0.924,-0.975,-0.817,-0.268
24940404,Quebec,720,-0.166,-0.865,0.073,0.636
24940406,Quebec,965,0.077,-0.96,0.261,0.23
24940407,Quebec,1075,-0.22,-0.769,-0.006,0.254
24940409,Quebec,1215,-0.52,-0.968,-0.738,-0.467
24940410,Quebec,730,-1.152,-0.948,-0.686,-0.482
24940411,Quebec,355,-0.812,-0.894,-0.514,-0.068
24940412,Quebec,445,-0.502,-0.603,-0.515,-0.107
24940414,Quebec,395,1.723,-0.825,0.539,0.827
24940415,Quebec,220,1.505,-1.005,1.837,0.517
24940416,Quebec,970,0.096,-0.838,0.466,0.321
24940417,Quebec,750,-0.843,-0.915,-1.679,-0.174
24940418,Quebec,475,-0.667,-1.006,-0.956,-0.562
24940419,Quebec,560,-0.812,-0.882,-0.65,-0.456
24940421,Quebec,530,0.36,-1,-0.765,-0.106
24940422,Quebec,340,-1.143,-0.978,0.428,-0.676
24940424,Quebec,305,-0.908,-1.183,-0.353,-0.669
24940425,Quebec,1085,-0.678,-0.956,-0.194,-0.296
24940429,Quebec,675,0.943,-0.845,-0.002,0.095
24940430,Quebec,840,-0.911,-0.948,-0.271,-0.447
24940431,Quebec,440,-0.143,-1.096,1.971,-0.509
24940432,Quebec,340,0.689,-0.858,-0.643,0.669
24940433,Quebec,395,0.487,-1.113,-0.474,0.172
24940434,Quebec,465,0.482,-0.891,-0.378,-0.229
24940435,Quebec,465,0.75,-0.799,1.435,-0.042
24940436,Quebec,490,-0.09,-1.076,0.369,-0.635
24940437,Quebec,530,-0.44,-0.996,0.385,-0.348
24940438,Quebec,340,2.259,-0.484,0.844,0.861
24940439,Quebec,335,1.351,-0.902,1.681,-0.138
24940440,Quebec,535,0.241,-0.977,-0.362,-0.426
24940441,Quebec,270,-0.42,-0.942,-1.098,-0.442
24940442,Quebec,520,1.604,-0.975,0.039,-0.163
24940443,Quebec,450,1.342,-0.736,1.354,-0.08
24940444,Quebec,490,0.401,-0.902,1.184,-0.119
24940445,Quebec,265,-0.409,-0.868,0.108,-0.196
24940446,Quebec,315,1.034,-0.82,1.926,-0.236
24940447,Quebec,360,-0.507,-1.028,-0.919,-0.626
24940450,Quebec,450,-1.159,-0.971,0.787,-0.597
24940451,Quebec,1005,-0.473,-0.874,-0.98,-0.501
24940452,Quebec,285,-0.598,-0.866,1.493,0.238
24940454,Quebec,345,-0.462,-0.973,1.828,0.492
24940455,Quebec,925,-0.934,-0.951,-0.464,-0.457
24940456,Quebec,1095,-0.6,-0.839,-1.204,-0.231
24940457,Quebec,495,-0.854,-1.082,0.337,-0.649
24940458,Quebec,635,-0.851,-1.008,-0.105,-0.317
24940460,Quebec,1545,0.686,-0.881,-1.052,-0.251
24940461,Quebec,940,-1.005,-0.953,-0.206,-0.538
24950025,Quebec,315,-0.356,-1.006,2.125,0.692
24950026,Quebec,330,-0.647,-0.823,2.119,0.828
24950027,Quebec,420,0.439,-1.126,0.818,1.106
24950028,Quebec,530,0.437,-0.96,1.406,0.851
24950029,Quebec,295,-0.432,-1.224,0.084,-0.724
24950030,Quebec,365,-0.449,-1.055,0.9,-0.151
24950031,Quebec,390,0.865,-1.015,0.852,0.458
24950032,Quebec,480,-0.138,-0.884,0.228,1.69
24950033,Quebec,345,0.122,-0.954,0.904,0.926
24950034,Quebec,280,-0.277,-1.109,1.091,0.658
24950035,Quebec,280,-0.386,-1.157,2.175,0.216
24950036,Quebec,275,-0.285,-0.936,1.629,0.99
24950037,Quebec,370,-0.22,-0.91,2.192,1.611
24950038,Quebec,275,-0.267,-1.049,1.636,1.103
24950039,Quebec,445,-0.044,-0.92,0.756,0.97
24950040,Quebec,395,0.167,-0.994,0.773,-0.096
24950041,Quebec,455,-0.029,-1.034,1.193,0.552
24950042,Quebec,310,-0.768,-0.906,0.476,1.702
24950043,Quebec,460,0.014,-0.842,0.754,1.061
24950044,Quebec,645,-0.106,-0.988,0.688,0.568
24950045,Quebec,620,-0.452,-0.833,0.233,0.23
24950046,Quebec,490,-0.003,-0.839,0.3,-0.124
24950047,Quebec,305,0.077,-0.874,1.215,0.975
24950048,Quebec,410,-0.485,-0.902,0.607,1.105
24950050,Quebec,285,0.619,-1.063,0.203,0.04
24950051,Quebec,345,-0.228,-0.815,0.413,0.964
24960045,Quebec,55,-0.157,-1.451,0.757,1.462
24960046,Quebec,1385,-0.393,-0.979,-0.337,-0.333
24960047,Quebec,215,0.204,-1.226,0.677,-0.193
24960048,Quebec,700,-0.964,-0.932,0.213,-0.287
24960049,Quebec,570,0.793,-1.011,-0.344,0.104
24960050,Quebec,670,0.119,-1.097,0.036,0.096
24960051,Quebec,910,0.453,-1.073,0.442,0.248
24960052,Quebec,390,0.603,-1.102,-0.256,0.201
24960053,Quebec,415,0.864,-1.069,-0.984,0.414
24960054,Quebec,505,0.743,-0.979,0.712,0.235
24960055,Quebec,500,-0.224,-0.903,-0.123,-0.127
24960056,Quebec,370,0.329,-1.017,-0.064,0.158
24960057,Quebec,340,0.492,-1.179,-0.296,-0.107
24960058,Quebec,400,-0.941,-1.187,-0.997,-0.784
24960059,Quebec,510,-1.221,-0.918,-0.726,-0.362
24960060,Quebec,370,-1.075,-0.934,0.418,-0.788
24960061,Quebec,455,-0.226,-0.785,0.743,-0.208
24960062,Quebec,370,-0.546,-1.08,0.132,-0.108
24960063,Quebec,390,0.594,-0.961,0.712,-0.107
24960064,Quebec,335,0.982,-0.902,1.647,-0.19
24960065,Quebec,415,-0.902,-0.701,-0.563,-0.367
24960066,Quebec,370,0.014,-0.982,-0.035,-0.35
24960067,Quebec,425,1.328,-0.899,0.239,0.301
24960068,Quebec,445,-0.493,-0.851,-0.473,0.164
24960069,Quebec,355,0.33,-1.084,-0.016,0.284
24960070,Quebec,630,-1.077,-1.029,-0.604,-0.383
24960071,Quebec,500,-0.066,-0.693,-0.361,0.528
24960072,Quebec,485,0.846,-0.775,-0.356,0.549
24960073,Quebec,515,-0.995,-1.044,0.432,-0.454
24960074,Quebec,375,-0.574,-0.999,0.132,-0.172
24960075,Quebec,330,-1.197,-1.002,-1.027,-0.483
24960076,Quebec,285,0.252,-1.18,1.173,0.429
24960077,Quebec,365,-0.032,-1.131,-0.054,-0.005
24960078,Quebec,385,-0.085,-0.787,0.3,0.584
24960079,Quebec,480,-0.675,-1.021,-0.771,-0.195
24960080,Quebec,705,-0.658,-0.976,-0.32,-0.239
24960081,Quebec,310,0.382,-0.844,0.107,0.559
24960082,Quebec,415,0.656,-1.044,0.36,0.008
24960083,Quebec,340,2.466,-1.05,1.02,-0.265
24960084,Quebec,425,1.433,-0.934,0.007,0.186
24960085,Quebec,455,0.29,-0.993,0.01,-0.18
24960086,Quebec,500,0.867,-1.016,0.167,0.403
24960087,Quebec,435,-0.413,-0.914,-0.439,0.553
24960088,Quebec,1060,-0.653,-1.033,-0.179,0.197
24960089,Quebec,485,1.096,-0.857,2.132,0.037
24960090,Quebec,1035,-0.579,-0.948,0.055,0.023
24960091,Quebec,385,-0.581,-1.053,-0.25,-0.01
24960092,Quebec,330,0.643,-0.999,0.241,1.103
24960093,Quebec,325,0.163,-1.028,1.387,1.143
24960094,Quebec,405,-0.219,-0.942,0.97,0.702
24960095,Quebec,275,-0.288,-1.202,0.508,0.444
24960096,Quebec,890,-0.616,-0.846,0.96,0.734
24960097,Quebec,70,-1.003,-0.349,2.653,1.101
24960098,Quebec,395,-0.765,-0.908,1.42,0.451
24960099,Quebec,1040,-0.406,-0.097,0.135,5.077
24960100,Quebec,320,-0.199,-1.16,0.676,-0.171
24960101,Quebec,405,-0.46,-0.319,0.317,5.181
24960102,Quebec,290,-0.021,-0.418,1.093,6.061
24960103,Quebec,400,-0.413,-0.153,0.187,5.376
24960104,Quebec,265,-0.168,-0.107,0.333,4.579
24960105,Quebec,265,0.103,-1.281,0.974,0.872
24960106,Quebec,320,-0.424,-0.992,1.994,1.432
24960107,Quebec,425,-0.618,-1.101,2.53,0.903
24970069,Quebec,640,-0.37,-0.005,-0.28,5.627
24970076,Quebec,490,1.3,-1.334,-1.919,-0.498
24970077,Quebec,285,0.26,-1.309,-2.18,-0.187
24970078,Quebec,90,3.453,-2.283,-2.495,-0.652
24970079,Quebec,430,-0.794,-1,-2.288,-0.066
24970080,Quebec,575,-0.996,-0.913,-2.715,-0.143
24970081,Quebec,420,-1.174,-1.417,-2.908,-0.702
24970083,Quebec,100,-0.369,-0.884,-0.892,0.251
24970085,Quebec,570,-0.477,-0.96,-0.21,0.574
24970086,Quebec,575,-0.537,-0.881,-1.164,0.089
24970087,Quebec,1145,-0.573,-1.102,-0.623,0.056
24970088,Quebec,625,-0.124,-0.985,-0.744,0.208
24970089,Quebec,605,-0.354,-0.853,-0.235,-0.314
24970092,Quebec,510,0.099,-0.632,-0.297,1.586
24970093,Quebec,590,-0.386,-0.997,-0.303,-0.168
24970094,Quebec,515,1.137,-0.878,-0.643,1.2
24970095,Quebec,575,0.024,-0.896,0.61,-0.08
24970096,Quebec,570,0.557,-0.891,-0.49,0.602
24970097,Quebec,435,0.315,-0.986,-0.532,0.403
24970099,Quebec,75,-0.158,-0.575,0.579,5.638
24970101,Quebec,490,2.522,-0.993,3.915,-0.194
24970102,Quebec,390,0.875,-1.089,0.212,0.214
24970103,Quebec,395,2.253,-0.938,0.874,0.737
24970104,Quebec,515,0.955,-1.057,-0.281,0.429
24970105,Quebec,330,-0.112,-1.035,-0.943,-0.026
24970106,Quebec,460,-1.016,-1.053,0.125,-0.426
24970107,Quebec,480,1.29,-0.799,0.925,1.01
24970108,Quebec,445,-0.013,-1.036,0.287,0.485
24970109,Quebec,635,2.713,-0.382,0.578,0.691
24970110,Quebec,515,2.669,-0.669,0.317,0.647
24970111,Quebec,645,0.373,-0.468,-0.531,0.315
24970112,Quebec,850,-0.371,-0.88,-1.431,-0.378
24970113,Quebec,795,2.143,-0.136,0.03,1.485
24970114,Quebec,525,-1.002,-1.065,-0.019,-0.581
24970115,Quebec,470,-1.542,-1.027,-1.472,-1.009
24970116,Quebec,395,-1.532,-1.019,-0.722,-0.541
24970117,Quebec,460,-1.023,-0.768,-0.609,-0.264
24970118,Quebec,395,-1.133,-1.077,-1.337,-1.012
24970119,Quebec,345,-0.943,-1.068,-1.089,0.325
24970120,Quebec,525,-1.245,-0.925,-1.523,-0.704
24970121,Quebec,645,-0.664,-1.008,-0.545,-0.429
24970122,Quebec,415,0.15,-1.036,-1.187,-0.384
24970123,Quebec,550,-0.033,-0.99,-0.592,-0.223
24970124,Quebec,465,-0.247,-1.125,-0.378,-0.107
24970125,Quebec,555,-0.957,-1.018,-0.9,-0.134
24970126,Quebec,280,-0.435,-1.077,0.202,0.465
24970127,Quebec,110,-0.448,-0.927,4.439,0.922
24970128,Quebec,635,-1.138,-1.005,-0.724,-0.577
24970129,Quebec,425,0.409,-0.603,1.732,1.467
24970130,Quebec,475,-0.322,-1.081,1.015,0.074
24970131,Quebec,365,1.167,-0.828,0.48,0.775
24970132,Quebec,485,-0.427,-1.016,-0.731,0.275
24970133,Quebec,575,0.497,-0.821,1.377,1.078
24970134,Quebec,500,-1.098,-1.023,-1.025,-0.504
24970135,Quebec,405,-1.098,-0.896,-0.052,0.076
24970136,Quebec,475,-0.469,-0.81,-0.162,0.419
24970137,Quebec,490,-0.216,-1.004,1.352,0.941
24970138,Quebec,430,-0.807,-1.156,-0.019,-0.608
24970139,Quebec,520,1.063,-0.686,-0.063,0.727
24970140,Quebec,415,-0.956,-1.048,-1.533,-0.615
24970141,Quebec,735,-0.33,-0.943,0.234,0.603
24970142,Quebec,765,-0.557,-0.303,0.101,5.09
24970143,Quebec,840,-0.515,-0.052,0.024,5.805
24970144,Quebec,405,0.164,-1.092,-0.38,0.985
24970145,Quebec,315,-0.348,-0.339,0.762,5.474
24970146,Quebec,950,-0.591,-0.116,0.02,5.884
24970147,Quebec,320,0.398,-0.767,0.889,0.257
24970149,Quebec,530,1.065,-0.961,0.364,-0.001
24970151,Quebec,180,-0.208,0.244,-0.044,5.236
24970152,Quebec,1055,-0.911,-0.832,-1.556,-0.348
24970153,Quebec,590,-0.59,-0.931,-0.454,0.495
24970154,Quebec,700,-1.009,-1.071,-0.411,-0.175
24970161,Quebec,240,0.942,-0.503,-1.802,1.035
24980033,Quebec,395,-0.17,-0.844,0.339,0.799
24980034,Quebec,695,-0.819,-0.71,-0.548,0.948
24980035,Quebec,545,-0.494,-1.197,0.731,0.001
24980036,Quebec,445,-1.146,-0.872,1.049,0.806
24980037,Quebec,240,-0.884,-0.78,1.719,1.309
24980038,Quebec,395,-0.712,-0.819,0.822,1.759
24980040,Quebec,390,-0.574,-1.131,0.702,0.763
24980046,Quebec,260,-0.278,-1.167,-0.67,0.277
24980047,Quebec,915,-1.205,0.701,-0.643,6.538
24980049,Quebec,215,0.105,-1.259,0.295,0.401
24980050,Quebec,90,-0.56,-1.29,0.844,-0.424
24980051,Quebec,1010,-0.636,-0.913,-0.536,-0.365
24980052,Quebec,650,-0.785,-0.84,-0.518,-0.35
24980053,Quebec,360,-0.75,-0.926,0.276,0.624
24980054,Quebec,385,-0.164,-0.783,0.971,0.458
24980055,Quebec,290,-0.992,-0.93,-0.2,0.112
24980056,Quebec,315,-0.222,-0.856,-0.254,0.379
24980057,Quebec,190,0.382,-0.946,0.611,-0.052
24980059,Quebec,430,-0.539,-1.108,0.117,-0.167
24980060,Quebec,550,-0.506,0.111,-0.214,5.697
24980061,Quebec,230,-0.011,-1.001,1.305,0.753
24980062,Quebec,225,0.514,-1.289,1.705,1.753
24980063,Quebec,190,0.303,-1.16,0.496,0.194
24980071,Quebec,230,-0.947,-1.059,-0.947,0.93
24990138,Quebec,1580,-0.666,1.775,-0.119,6.04
24990142,Quebec,2110,-0.736,1.377,-0.43,6.157
24990144,Quebec,410,-0.465,1.213,-0.202,6.069
24990146,Quebec,645,-0.669,1.929,0.272,6.299
24990148,Quebec,1805,-0.646,1.395,-0.281,5.938
24990150,Quebec,545,-0.168,0.56,-0.335,5.635
24990165,Quebec,950,-0.522,1.088,-0.841,5.524
24990168,Quebec,2025,0.143,-0.024,-1.777,3.021
24990169,Quebec,265,-0.724,0.627,-1.069,5.512
24990170,Quebec,370,-0.287,0.013,-1.661,3.823
24990174,Quebec,235,-0.277,0.233,-1.548,6.125
24990176,Quebec,550,-0.57,0.529,-0.847,5.964
24990179,Quebec,455,-0.21,0.962,-1.009,5.048
24990181,Quebec,835,0.035,0.593,-1.123,4.693
24990195,Quebec,825,-0.728,0.043,-1.109,4.569
24990197,Quebec,925,-0.821,0.315,-1.353,4.898
24990198,Quebec,2055,-0.789,0.588,-0.629,4.9
24990199,Quebec,475,-0.82,0.856,-0.028,5.774
24990203,Quebec,1560,-0.773,0.025,-0.943,4.941
24990205,Quebec,4970,-0.92,0.545,-0.786,4.883
24990209,Quebec,375,-1.36,0.324,-0.249,5.442
24990210,Quebec,405,-1.17,0.233,-0.309,5.575
24990213,Quebec,430,-0.825,-0.904,-1.137,-0.404
24990214,Quebec,355,-0.098,-0.634,-0.192,0.586
24990215,Quebec,345,-0.154,-0.908,-0.298,0.185
24990216,Quebec,435,-0.629,-0.845,-0.872,0.138
24990217,Quebec,380,0.674,-0.883,-0.985,0.618
24990218,Quebec,415,1.51,-0.959,-0.873,0.944
24990219,Quebec,455,0.971,-1.132,-0.609,-0.099
24990220,Quebec,390,-0.546,-0.805,-0.204,0.028
24990221,Quebec,385,-0.755,-0.781,-0.269,0.286
24990222,Quebec,660,-0.255,-0.957,-1.274,-0.142
24990223,Quebec,395,-0.161,-0.85,-1.15,0.007
24990224,Quebec,345,-0.574,-0.984,-1.075,0.137
24990225,Quebec,550,-0.192,-0.866,-0.128,0.691
24990226,Quebec,450,1.062,-0.694,0.465,0.398
24990227,Quebec,490,-0.898,-1.042,-1.536,-0.335
24990228,Quebec,660,-0.976,-0.839,-0.598,-0.167
24990229,Quebec,325,-0.263,-1.065,0.464,0.642
24990230,Quebec,330,-0.273,-0.96,0.122,0.884
24990231,Quebec,350,0.098,-1.188,-1.417,0.134
24990232,Quebec,435,-0.769,-0.697,-0.035,0.639
24990236,Quebec,435,-0.585,-0.92,-0.572,-0.385
24990237,Quebec,380,-0.731,-0.871,-0.378,-0.536
24990238,Quebec,305,0.029,-1.142,0.214,0.168
24990239,Quebec,280,-0.601,-1.155,-0.508,0.212
24990240,Quebec,390,-0.327,-0.501,0.467,0.021
24990241,Quebec,440,-0.939,-0.938,-1.305,-0.336
24990242,Quebec,280,-0.328,-1.17,0.501,0.39
24990243,Quebec,370,-0.628,-1.169,-1.101,0.338
24990244,Quebec,305,-0.533,-1.001,-0.036,0.011
24990245,Quebec,275,-0.972,-0.383,0.664,-0.623
24990248,Quebec,170,0.79,-1.434,-1.749,-0.114
24990249,Quebec,285,-0.155,-0.864,0.308,1
24990250,Quebec,185,0.023,-1.228,0.712,1.189
24990251,Quebec,300,-0.52,-0.946,1.153,0.955
24990260,Quebec,1025,-1.19,0.444,-1.481,5.475
24990261,Quebec,795,0.01,0.328,-0.714,5.784
24990263,Quebec,1670,-0.5,-0.414,-0.968,4.024
24990264,Quebec,795,-0.573,-0.11,-0.778,4.247
24990267,Quebec,460,-0.741,-0.203,-0.74,4.586
35010155,Ontario,490,-0.361,-0.816,0.179,-0.114
35010156,Ontario,370,-0.469,-0.817,0.114,-0.045
35010157,Ontario,440,-0.299,-0.934,-0.791,-0.036
35010158,Ontario,560,-0.394,-0.733,0.157,0.674
35010159,Ontario,635,-0.699,-0.583,0.481,0.244
35010160,Ontario,455,-0.708,-0.636,0.552,-0.433
35010161,Ontario,375,-0.634,-0.576,0.709,0.206
35010162,Ontario,355,-0.53,-0.871,0.706,-0.495
35010163,Ontario,510,-0.691,-0.616,0.402,-0.541
35010164,Ontario,475,-0.949,-0.869,-0.399,-0.297
35010165,Ontario,375,-0.31,-0.508,0.344,0.115
35010166,Ontario,450,-0.479,-0.841,0.384,-0.645
35010167,Ontario,445,-0.99,-0.751,0.361,0.203
35010168,Ontario,415,-0.912,-0.919,-0.881,-0.54
35010169,Ontario,455,-0.539,-0.779,-0.927,-0.392
35010170,Ontario,460,-0.933,-0.731,0.151,-0.265
35010171,Ontario,455,-0.897,-0.573,0.647,-0.233
35010172,Ontario,1095,-0.7,-0.389,-0.16,-0.416
35010173,Ontario,800,-0.557,-0.877,0.181,-0.666
35010179,Ontario,605,-0.7,-0.534,0.37,-0.709
35010180,Ontario,1010,0.158,-0.426,0.51,-0.269
35010181,Ontario,360,-0.131,-0.363,0.75,0.157
35010182,Ontario,425,-0.706,-0.308,1.619,0.069
35010183,Ontario,750,0.148,0.645,-0.155,1.786
35010184,Ontario,425,-0.619,-0.845,0.831,-0.322
35010185,Ontario,765,0.798,-0.548,2.296,-0.113
35010186,Ontario,615,0.749,-0.396,0.991,0.322
35010187,Ontario,655,0.906,-0.387,0.713,0.95
35010188,Ontario,505,0.223,-0.403,0.879,1.116
35010189,Ontario,355,-0.479,-0.815,0.788,-0.432
35010190,Ontario,420,0.569,-0.336,0.739,0.525
35010191,Ontario,400,0.879,-0.482,0.797,0.919
35010192,Ontario,470,0.815,-0.361,-0.028,0.851
35010193,Ontario,350,1.122,-0.569,0.92,1.242
35010194,Ontario,350,1.531,-0.266,1.871,2.869
35010195,Ontario,330,1.735,-0.112,0.416,2.237
35010196,Ontario,355,1.822,0.023,0.518,3.136
35010197,Ontario,435,0.985,-0.381,0.498,1.516
35010198,Ontario,385,1.831,-0.373,2.357,1.297
35010199,Ontario,535,1.737,-0.188,-0.328,1.771
35010200,Ontario,340,1.465,-0.211,0.576,1.182
35010202,Ontario,345,1.489,-0.398,1.432,1.634
35010203,Ontario,595,1.214,-0.593,1.7,0.72
35010204,Ontario,495,1.384,-0.929,2.444,0.01
35010205,Ontario,255,1.772,-0.17,-0.13,0.598
35010206,Ontario,485,0.59,-0.899,0.091,-0.235
35010207,Ontario,300,-0.157,-0.284,-0.133,0.961
35010208,Ontario,450,0.58,-0.464,1.1,0.342
35010209,Ontario,465,0.937,-0.569,0.082,1.434
35010210,Ontario,485,1.973,-0.874,2.291,0.685
35010211,Ontario,520,0.309,-0.552,-0.127,1.261
35010212,Ontario,385,1.119,-0.564,1.184,1.795
35010213,Ontario,520,0.122,-0.434,0.849,1.626
35010214,Ontario,380,0.222,-0.134,-0.216,0.858
35010215,Ontario,505,0.245,-0.113,1.069,0.777
35010216,Ontario,360,-0.088,-0.85,1.19,-0.2
35010217,Ontario,1085,0.495,-0.523,0.072,-0.056
35010218,Ontario,485,0.106,-0.106,0.098,0.861
35010219,Ontario,415,0.58,-0.825,0.993,0.137
35010220,Ontario,455,-0.199,-0.996,0.853,0.019
35010221,Ontario,525,0.597,-0.135,0.193,0.665
35010222,Ontario,655,0.434,0.258,0.492,1.162
35010223,Ontario,565,1.063,-0.465,0.673,0.464
35010224,Ontario,425,0.394,-0.64,0.531,1.135
35010225,Ontario,715,1.483,0.158,0.225,0.789
35010226,Ontario,475,1.629,0.421,0.228,0.811
35010227,Ontario,270,-0.539,-0.812,1.527,-0.349
35010228,Ontario,640,-0.741,-0.41,-0.04,-0.302
35010229,Ontario,655,-0.708,-0.561,0.348,-0.531
35010230,Ontario,445,-1.223,-0.419,0.141,-0.983
35010231,Ontario,425,-0.358,-0.794,-0.024,-0.459
35010232,Ontario,410,-0.844,-0.703,0.494,-0.496
35010233,Ontario,490,-0.342,-0.799,0.107,-0.159
35010234,Ontario,465,-0.265,-0.594,0.942,0.724
35010235,Ontario,355,0.963,-0.821,1.558,0.04
35010237,Ontario,480,1.237,-0.791,2.819,0.201
35010238,Ontario,445,1.613,-0.138,0.409,1.519
35010239,Ontario,595,1.124,-0.221,1.525,0.617
35010240,Ontario,410,1.076,-0.406,0.012,2.225
35010241,Ontario,565,0.578,-0.301,-0.078,2.178
35010242,Ontario,400,0.947,-0.448,0.629,1.65
35010243,Ontario,460,0.712,-0.496,0.461,1.702
35010244,Ontario,515,1.391,-0.079,0.828,1.507
35010245,Ontario,550,1.036,-0.554,0.555,1.206
35010246,Ontario,495,0.6,-0.496,0.619,0.272
35010247,Ontario,695,2.38,-0.436,2.468,0.267
35010248,Ontario,340,2.987,-1.098,7.462,-1.088
35010249,Ontario,460,0.759,-0.695,1.826,0.152
35010250,Ontario,400,-0.686,-0.562,0.251,-0.141
35010251,Ontario,320,-0.874,-0.814,0.107,0.341
35010252,Ontario,335,0.004,-0.679,0.242,-0.164
35010253,Ontario,725,-0.137,-0.265,0.497,0.024
35010254,Ontario,365,-0.885,-0.676,0.502,-0.404
35010255,Ontario,285,0.028,0.007,0.359,-0.259
35010256,Ontario,350,-0.185,-0.698,0.742,0.025
35010257,Ontario,655,0.233,0.109,0.519,-0.006
35010258,Ontario,380,-0.344,-0.848,1.424,-0.453
35010259,Ontario,275,-0.865,-0.622,1.461,-0.589
35010260,Ontario,690,-0.132,-0.32,0.659,1.175
35010261,Ontario,515,0.203,-0.817,0.156,0.091
35010262,Ontario,335,-0.637,-0.679,1.258,-0.236
35010263,Ontario,305,-0.619,-0.828,2.255,0.129
35010264,Ontario,560,0.228,-0.098,1.355,-0.143
35010265,Ontario,380,-0.867,-0.031,0.765,-0.356
35010266,Ontario,640,0.781,-0.484,1.215,-0.135
35010267,Ontario,380,-0.093,-0.628,0.547,-0.229
35010268,Ontario,410,1.705,-0.65,-0.034,0.439
35010269,Ontario,430,-0.004,-0.488,0.779,0.555
35010270,Ontario,435,1.711,-0.537,1.167,1.46
35010271,Ontario,290,1.597,-0.201,0.299,1.925
35010272,Ontario,470,1.08,-0.114,0.538,1.94
35010273,Ontario,725,-0.521,-0.672,-0.437,-0.043
35010274,Ontario,490,-0.822,-0.969,0.181,0.291
35010275,Ontario,985,-0.815,-0.645,0.199,0.026
35010276,Ontario,615,-0.991,-0.68,-0.292,-0.669
35010277,Ontario,510,-0.858,-0.77,-0.285,-0.646
35010278,Ontario,405,-1.097,-0.795,-0.017,-0.271
35010279,Ontario,390,-0.81,-0.809,-0.44,-0.456
35010280,Ontario,430,-1.227,-0.717,-0.08,0.191
35010281,Ontario,475,-0.795,-0.782,0.258,0.078
35010282,Ontario,415,0.085,-0.715,-0.711,0.846
35010283,Ontario,435,-0.435,-0.73,-0.608,0.96
35010284,Ontario,460,-0.915,-0.636,-0.021,-0.271
35010285,Ontario,570,0.082,-0.683,0.55,-0.29
35010286,Ontario,495,-0.567,-0.739,-0.572,-0.24
35010287,Ontario,525,-1.02,-0.844,-0.488,0.245
35010288,Ontario,550,-0.548,-0.625,-0.696,0.161
35010289,Ontario,765,-0.3,-0.68,-0.776,-0.393
35010290,Ontario,475,-0.991,-0.855,-1.36,-0.234
35010291,Ontario,415,-0.914,-0.608,-0.02,-0.2
35010292,Ontario,455,-0.98,-0.615,-0.164,-0.112
35010293,Ontario,630,-0.436,-0.761,-0.541,0.109
35010294,Ontario,800,-0.412,-0.733,0.024,-0.119
35010295,Ontario,350,-0.075,-0.674,0.529,0.082
